n,Treatment,treatment_label,gender,age,study,DictatorCharity,giveC,min_ug,Favor_intentions,Favor_revenge,Favor_return,Punish_Self,Punish_Others,Gift,Give_Charity,Donation_Good_Cause,Wage,Effort,Acceptance
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,35,5.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,40,5.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,45,5.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,50,5.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,55,8.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,60,8.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,65,8.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,75,10.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,85,10.0,1.0
4,P,GE,1,33,3,30,30.0,40.0,8,3,10,8,6,3,8,300,95,10.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,1,0.0,0.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,3,0.0,0.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,5,1.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,10,4.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,15,3.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,20,4.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,25,5.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,30,6.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,35,7.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,40,7.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,45,8.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,50,8.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,55,8.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,60,9.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,65,10.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,75,10.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,85,10.0,1.0
5,P,GE,1,25,3,30,30.0,50.0,5,2,10,3,2,2,8,100,95,10.0,1.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,1,0.0,0.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,3,0.0,0.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,5,0.0,0.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,10,0.0,0.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,15,0.0,0.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,20,0.0,0.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,25,0.0,0.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,30,0.0,0.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,35,0.0,0.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,40,1.0,1.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,45,4.0,1.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,50,6.0,1.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,55,7.0,1.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,60,8.0,1.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,65,9.0,1.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,75,10.0,1.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,85,10.0,1.0
6,S,Prosocial,1,23,2,20,20.0,60.0,5,2,10,1,1,5,9,0,95,5.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,1,0.0,0.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,3,0.0,0.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,5,0.0,0.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,10,5.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,15,5.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,20,6.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,25,6.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,30,7.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,35,7.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,40,8.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,45,8.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,50,9.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,55,9.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,60,10.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,65,10.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,75,10.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,85,10.0,1.0
7,S,Prosocial,1,25,3,40,40.0,10.0,5,2,10,9,6,1,8,333,95,10.0,1.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,1,0.0,0.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,3,0.0,0.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,5,0.0,0.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,10,0.0,0.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,15,0.0,0.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,20,0.0,0.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,25,1.0,1.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,30,2.0,1.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,35,3.0,1.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,40,4.0,1.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,45,5.0,1.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,50,6.0,1.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,55,7.0,1.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,60,7.0,1.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,65,8.0,1.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,75,9.0,1.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,85,9.0,1.0
8,S,Prosocial,1,20,3,20,20.0,10.0,0,3,10,3,2,4,7,30,95,10.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,1,0.0,0.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,3,0.0,0.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,5,0.0,0.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,10,0.0,0.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,15,1.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,20,2.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,25,3.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,30,3.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,35,4.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,40,4.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,45,4.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,50,5.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,55,7.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,60,7.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,65,6.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,75,8.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,85,8.0,1.0
9,P,GE,1,19,2,20,20.0,40.0,3,7,8,7,7,5,6,400,95,10.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,1,1.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,3,1.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,5,1.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,10,2.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,15,3.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,20,4.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,25,5.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,30,5.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,35,6.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,40,7.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,45,8.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,50,9.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,55,9.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,60,10.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,65,10.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,75,10.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,85,10.0,1.0
10,P,GE,0,26,2,50,50.0,50.0,3,7,10,8,8,5,10,25,95,10.0,1.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,1,0.0,0.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,3,0.0,0.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,5,0.0,0.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,10,0.0,0.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,15,0.0,0.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,20,0.0,0.0
