table_id,model,term,coefficient,std_error,fit_stat,observations,p_value
Table A.8,4,GE treatment,-14.14798968375961,5.6287007,0.090511769,140,0.011952469785278197
Table A.8,4,Neutral treatment,-1.639113817280174,5.6213541,0.090511769,140,0.7706024108552756
Table A.8,4,Charitable motivation,-0.0516491260280177,0.17258213,0.090511769,140,0.7647319562423789
Table A.8,4,GE treatment*Charitable motivation,0.2449985605356652,0.20528977,0.090511769,140,0.23270179280460224
Table A.8,4,Neutral treatment*Charitable motivation,0.0787625578011809,0.22743487,0.090511769,140,0.7291111154909171
Table A.8,4,Constant,27.21006178439133,12.794168,0.090511769,140,0.03344043841591304
Table A.9,1,GE treatment,-10.19636524822696,3.9484787,0.13889076,155,0.009812919754064175
Table A.9,1,Efficiency treatment,10.91250000000001,4.5375977,0.13889076,155,0.01617658649331255
Table A.9,1,Constant,35.77083333333334,3.1032524,0.13889076,155,0.0
Table A.9,2,GE treatment,-10.18459933745143,3.946523,0.14792322,155,0.009861416028193348
Table A.9,2,Efficiency treatment,9.776340870385209,4.5361924,0.14792322,155,0.031147238619267714
Table A.9,2,Charitable motivation,0.1206540668617483,0.10001756,0.14792322,155,0.2276907228457219
Table A.9,2,Constant,33.91074980254805,3.5733225,0.14792322,155,0.0
Table A.9,3,GE treatment,-14.5932959874023,5.6577063,0.15457591,155,0.009898181592856936
Table A.9,3,Efficiency treatment,6.796522520567088,6.6188507,0.15457591,155,0.3044942548112304
Table A.9,3,Charitable motivation,-0.0364800476474105,0.16161671,0.15457591,155,0.8214195681536005
Table A.9,3,GE treatment*Charitable motivation,0.2867896451706332,0.20377915,0.15457591,155,0.15932209037489398
Table A.9,3,Efficiency treatment*Charitable motivation,0.179577097776349,0.23317207,0.15457591,155,0.4412118654888353
Table A.9,3,Constant,36.3332340678976,4.3786926,0.15457591,155,0.0
Table A.9,4,GE treatment,-14.18706767708687,5.7500963,0.18425195,155,0.01361458311202668
Table A.9,4,Efficiency treatment,6.657912091093462,6.7263231,0.18425195,155,0.32225753146990055
Table A.9,4,Charitable motivation,-0.0138827375524288,0.15649495,0.18425195,155,0.9293120267976773
Table A.9,4,GE treatment*Charitable motivation,0.1620787506754508,0.19941744,0.18425195,155,0.41635500570834183
Table A.9,4,Efficiency treatment*Charitable motivation,0.1547838695736455,0.23300487,0.18425195,155,0.5065017966871035
Table A.9,4,Constant,42.45783208009738,9.9480505,0.18425195,155,1.9727309060080245e-05
