table_id,model,term,coefficient,std_error,fit_stat,observations
Table A.8,2,Charitable motivation,.0792875193139248,.086124003,.062824421,140
Table A.8,2,Constant,34.54848407724366,3.5185769,.062824421,140
Table A.8,3,GE treatment,-14.59329598740218,5.669951,.073470041,140
Table A.8,3,Neutral treatment,-1.930008261445951,5.6826086,.073470041,140
Table A.8,3,Charitable motivation,-.0364800476474085,.16196649,.073470041,140
Table A.8,3,GE treatment*Charitable motivation,.2867896451706277,.20422018,.073470041,140
Table A.8,3,Neutral treatment*Charitable motivation,.0824477895828928,.21388541,.073470041,140
Table A.8,3,Constant,36.33323406789754,4.3881693,.073470041,140
Table A.8,4,GE treatment,-14.14798968375961,5.6287007,.090511769,140
Table A.8,4,Neutral treatment,-1.639113817280174,5.6213541,.090511769,140
Table A.8,4,Charitable motivation,-.0516491260280177,.17258213,.090511769,140
Table A.8,4,GE treatment*Charitable motivation,.2449985605356652,.20528977,.090511769,140
Table A.8,4,Neutral treatment*Charitable motivation,.0787625578011809,.22743487,.090511769,140
Table A.8,4,Constant,27.21006178439133,12.794168,.090511769,140
Table A.9,1,GE treatment,-10.19636524822696,3.9484787,.13889076,155
Table A.9,1,Efficiency treatment,10.91250000000001,4.5375977,.13889076,155
Table A.9,1,Constant,35.77083333333334,3.1032524,.13889076,155
Table A.9,2,GE treatment,-10.18459933745143,3.946523,.14792322,155
Table A.9,2,Efficiency treatment,9.776340870385209,4.5361924,.14792322,155
Table A.9,2,Charitable motivation,.1206540668617483,.10001756,.14792322,155
Table A.9,2,Constant,33.91074980254805,3.5733225,.14792322,155
Table A.9,3,GE treatment,-14.5932959874023,5.6577063,.15457591,155
Table A.9,3,Efficiency treatment,6.796522520567088,6.6188507,.15457591,155
Table A.9,3,Charitable motivation,-.0364800476474105,.16161671,.15457591,155
Table A.9,3,GE treatment*Charitable motivation,.2867896451706332,.20377915,.15457591,155
Table A.9,3,Efficiency treatment*Charitable motivation,.179577097776349,.23317207,.15457591,155
Table A.9,3,Constant,36.3332340678976,4.3786926,.15457591,155
Table A.9,4,GE treatment,-14.18706767708687,5.7500963,.18425195,155
Table A.9,4,Efficiency treatment,6.657912091093462,6.7263231,.18425195,155
Table A.9,4,Charitable motivation,-.0138827375524288,.15649495,.18425195,155
Table A.9,4,GE treatment*Charitable motivation,.1620787506754508,.19941744,.18425195,155
Table A.9,4,Efficiency treatment*Charitable motivation,.1547838695736455,.23300487,.18425195,155
Table A.9,4,Constant,42.45783208009738,9.9480505,.18425195,155
